Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
LAZ,2012-11-01,2013-02-28,4.00000,1.54372,2.59181,0.36562,1.2187074829931972
LAZ,2013-02-28,2013-05-01,6.00000,1.35894,3.58436,0.36651,0.9419480881942507
LAZ,2013-05-01,2013-07-30,2.00000,1.28625,3.72736,0.40073,1.066962962962963
LAZ,2013-07-30,2013-10-29,6.00000,1.23948,3.93275,0.37416,1.099416828658706
LAZ,2013-10-29,2014-02-27,7.00000,1.29075,3.49952,0.36968,1.1020459712048496
LAZ,2014-02-27,2014-05-06,7.00000,1.26131,3.77960,0.35342,1.1407288562915425
LAZ,2014-05-06,2014-07-28,6.00000,1.19512,4.21596,0.36698,1.0707253365481213
LAZ,2014-07-28,2014-10-28,6.00000,1.11646,4.43404,0.34515,0.9238130981422406
LAZ,2014-10-28,2015-02-27,8.00000,1.20085,3.77196,0.34876,1.0463132236441195
LAZ,2015-02-27,2015-04-28,8.00000,1.27403,3.32726,0.31821,1.0580469811687052
LAZ,2015-04-28,2015-07-27,6.00000,1.14245,4.26280,0.35666,1.0267889908256882
LAZ,2015-07-27,2015-10-28,6.00000,0.67019,3.77581,0.24288,0.84578270192995
LAZ,2015-10-28,2016-02-25,6.00000,0.86811,2.42283,0.24301,0.6832875554616523
LAZ,2016-02-25,2016-04-27,6.00000,0.97769,2.27489,0.22296,1.1444032158317872
LAZ,2016-04-27,2016-08-01,4.00000,0.92027,2.28080,0.24897,0.9592002161577953
LAZ,2016-08-01,2016-10-28,6.00000,0.92005,2.50035,0.23686,1.0602816901408452
LAZ,2016-10-28,2017-02-24,7.00000,0.98412,2.30656,0.23209,1.123538788522848
LAZ,2017-02-24,2017-05-01,6.00000,1.08758,2.52177,0.26086,1.0179711515724756
LAZ,2017-05-01,2017-08-01,7.00000,1.02945,2.61466,0.27272,1.064808362369338
LAZ,2017-08-01,2017-10-31,8.00000,1.05853,2.66141,0.24938,1.0381762652705062
LAZ,2017-10-31,2018-02-27,4.00000,1.09678,2.53414,0.24604,1.1451985711283883
LAZ,2018-02-27,2018-04-30,6.00000,1.22528,2.91505,0.24152,0.9831192660550458
LAZ,2018-04-30,2018-07-31,7.00000,1.13906,3.24652,0.26551,1.0009331840238895
LAZ,2018-07-31,2018-10-29,6.00000,1.12126,3.15774,0.25741,0.7195599477904159
LAZ,2018-10-29,2019-02-26,5.00000,1.18633,3.40874,0.28994,0.9567245400362788
LAZ,2019-02-26,2019-04-30,5.00000,1.15077,4.15130,0.28701,1.0403575297941494
LAZ,2019-04-30,2019-07-29,2.00000,0.97177,6.12947,0.31990,1.000520697734965
LAZ,2019-07-29,2019-11-05,4.00000,0.95396,6.67188,0.30470,0.9953161592505855
LAZ,2019-11-05,2020-02-25,4.00000,0.92841,7.09051,0.30241,1.0250980392156863
LAZ,2020-02-25,2020-05-04,4.00000,0.95229,7.27435,0.29782,0.6375924509053813
LB,2010-09-07,2010-12-03,7.00000,2.35000,2.24264,0.37667,1.2213302752293578
